"","X","file_id","newspaper_name1","news_address","news_location.lon","news_location.lat","city1","newspaper_state_code","date","year","page","URL","lynch_address","city_lynch","state_lynch","lynching.lon","lynching.lat","Comments.or.notes.","index","sn","news_location","lynch_location","miles","in_state","decade","Newspaper_State","Newspaper_Region"
"11",11,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Dallas, TX","Dallas","TX",-96.796988,32.776664,NA,2492,"sn87096037","-97.72232, 47.32221","-96.796988, 32.776664",1007,"N","1890s","North Dakota","North Central"
"12",12,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Gaston, SC","Gaston","SC",-81.100929,33.817097,NA,2492,"sn87096037","-97.72232, 47.32221","-81.100929, 33.817097",1273,"N","1890s","North Dakota","North Central"
"13",13,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2492,"sn87096037","-97.72232, 47.32221","-79.941427, 37.27097",1140,"N","1890s","North Dakota","North Central"
"14",14,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Dallas, TX","Dallas","TX",-96.796988,32.776664,NA,2493,"sn87096037","-97.72232, 47.32221","-96.796988, 32.776664",1007,"N","1890s","North Dakota","North Central"
"15",15,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Gaston, SC","Gaston","SC",-81.100929,33.817097,NA,2493,"sn87096037","-97.72232, 47.32221","-81.100929, 33.817097",1273,"N","1890s","North Dakota","North Central"
"16",16,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2493,"sn87096037","-97.72232, 47.32221","-79.941427, 37.27097",1140,"N","1890s","North Dakota","North Central"
"17",17,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Dallas, TX","Dallas","TX",-96.796988,32.776664,NA,2494,"sn87096037","-97.72232, 47.32221","-96.796988, 32.776664",1007,"N","1890s","North Dakota","North Central"
"18",18,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Gaston, SC","Gaston","SC",-81.100929,33.817097,NA,2494,"sn87096037","-97.72232, 47.32221","-81.100929, 33.817097",1273,"N","1890s","North Dakota","North Central"
"19",19,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2494,"sn87096037","-97.72232, 47.32221","-79.941427, 37.27097",1140,"N","1890s","North Dakota","North Central"
"20",20,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Dallas, TX","Dallas","TX",-96.796988,32.776664,NA,2495,"sn87096037","-97.72232, 47.32221","-96.796988, 32.776664",1007,"N","1890s","North Dakota","North Central"
"21",21,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Gaston, SC","Gaston","SC",-81.100929,33.817097,NA,2495,"sn87096037","-97.72232, 47.32221","-81.100929, 33.817097",1273,"N","1890s","North Dakota","North Central"
"22",22,8155,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","8/4/1893",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2495,"sn87096037","-97.72232, 47.32221","-79.941427, 37.27097",1140,"N","1890s","North Dakota","North Central"
"23",23,8173,NA,"NA, Nebraska",-99.90181,41.492537,NA,"NE","10/10/1891",1891,"seq-1","https://articleextractor.org/pages/8173/nbu_beatrice_ver01/sn99021999/1891/10/10/ed-1/seq-1/1","Downtown Omaha, NE","Downtown Omaha","NE",-95.937129,41.26372,"Lynching victim was accused of assaulting a young girl, but the paper states that the boy was happy and healthy and that there was no foundation for the initial report of the crime. Mob of 10,000 people, police where there but did nothing",2500,"sn99021999","-99.90181, 41.492537","-95.937129, 41.26372",206,"Y","1890s","Nebraska","North Central"
"24",24,8176,"Waterbury evening Democrat ","Waterbury, Connecticut",-73.0515,41.558152,"Waterbury","CT","10/30/1891",1891,"seq-1","https://articleextractor.org/pages/8176/ct_gum_ver01/sn94053256/1891/10/30/ed-1/seq-1/1","Covington, LA","Covington","LA",-90.100911,30.47547,NA,2501,"sn94053256","-73.0515, 41.558152","-90.100911, 30.47547",1220,"N","1890s","Connecticut","Northeast"
"25",25,8180,"The Hope pioneer ","Hope, North Dakota",-97.72232,47.32221,"Hope","ND","11/4/1892",1892,"seq-2","https://articleextractor.org/pages/8180/ndhi_argon_ver01/sn87096037/1892/11/04/ed-2/seq-2/1","New Monroeville, AL","New Monroeville","AL",-87.324708,31.52794,NA,2502,"sn87096037","-97.72232, 47.32221","-87.324708, 31.52794",1223,"N","1890s","North Dakota","North Central"
"26",26,8181,"St. Paul daily globe ","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN","10/4/1891",1891,"seq-1","https://articleextractor.org/pages/8181/mnhi_faribault_ver01/sn90059522/1891/10/04/ed-1/seq-1/1","Marianna, AK","Marianna","AK",-90.772254,34.77462,"2 men lynched",2503,"sn90059522","-93.08996, 44.953703","-90.772254, 34.77462",715,"N","1890s","Minnesota","North Central"
"27",27,8183,"The Grenada sentinel ","Grenada, Mississippi",-89.80842,33.769005,"Grenada","MS","9/21/1889",1889,"seq-2","https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/1","Morgantown, NC","Morgantown","NC",-81.684819,35.745407,"2 men lynched",2504,"sn85034375","-89.80842, 33.769005","-81.684819, 35.745407",481,"N","1880s","Mississippi","South"
"28",28,8186,"The enterprise ","Wellington, Ohio",-82.21793,41.168942,"Wellington","OH","9/27/1893",1893,"seq-6","https://articleextractor.org/pages/8186/ohi_cousteau_ver02/sn84028272/1893/09/27/ed-1/seq-6/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,"turned into a riot, lynching did not occur (possible lynching victim was secreted) but many people died in a shooting",2505,"sn84028272","-82.21793, 41.168942","-79.941427, 37.27097",296,"N","1890s","Ohio","North Central"
"29",29,8187,"Arizona republican ","Phoenix, Arizona",-112.07404,33.448377,"Phoenix","AZ","1/15/1892",1892,"seq-5","https://articleextractor.org/pages/8187/az_coyote_ver01/sn84020558/1892/01/15/ed-1/seq-5/1","Shreveport, LA","Shreveport","LA",-93.750179,32.525152,NA,2506,"sn84020558","-112.07404, 33.448377","-93.750179, 32.525152",1064,"N","1890s","Arizona","West"
"30",30,8189,NA,"NA, Texas",-99.90181,31.968599,NA,"TX","2/3/1887",1887,"seq-6","https://articleextractor.org/pages/8189/txdn_echo_ver03/sn86064205/1887/02/03/ed-1/seq-6/1","Brenham, TX","Brenham","TX",-96.397744,30.166883,"3 men lynched",2508,"sn86064205","-99.90181, 31.968599","-96.397744, 30.166883",242,"Y","1880s","Texas","South"
"31",31,8190,"The Topeka state journal ","Topeka, Kansas",-95.67516,39.047345,"Topeka","KS","9/3/1910",1910,"seq-12","https://articleextractor.org/pages/8190/khi_edelbrock_ver01/sn82016014/1910/09/03/ed-1/seq-12/1","Not specified, MI","Not specified","MI",NA,NA,NA,2509,"sn82016014","-95.67516, 39.047345","NA, NA",NA,"N","1910s","Kansas","North Central"
"32",32,8191,"St. Paul daily globe ","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN","8/29/1893",1893,"seq-4","https://articleextractor.org/pages/8191/mnhi_gonvick_ver01/sn90059522/1893/08/29/ed-1/seq-4/1","Louisville, KY","Louisville","KY",-85.758456,38.252665,NA,2510,"sn90059522","-93.08996, 44.953703","-85.758456, 38.252665",598,"N","1890s","Minnesota","North Central"
"33",33,8192,"The Salt Lake herald ","Salt Lake City , Utah",-111.89105,40.760779,"Salt Lake City ","UT","7/28/1887",1887,"seq-1","https://articleextractor.org/pages/8192/uuml_griffith_ver01/sn85058130/1887/07/28/ed-1/seq-1/1","Atlanta, GA","Atlanta","GA",-84.387684,33.748752,NA,2511,"sn85058130","-111.89105, 40.760779","-84.387684, 33.748752",1582,"N","1880s","Utah","West"
"34",35,8197,"The Russellville Democrat ","Russellville, Arkansas",-93.1337,35.278116,"Russellville","AR","11/30/1893",1893,"seq-2","https://articleextractor.org/pages/8197/arhi_igglybuff_ver01/sn84023017/1893/11/30/ed-1/seq-2/1","Varner, Lincoln County, AR","Varner, Lincoln County","AR",-91.61889,34.03833,NA,2515,"sn84023017","-93.1337, 35.278116","-91.61889, 34.03833",122,"Y","1890s","Arkansas","South"
"35",36,8200,"Tensas gazette ","St. Joseph, Louisiana",-91.23349,31.918368,"St. Joseph","LA","4/30/1909",1909,"seq-4","https://articleextractor.org/pages/8200/lu_roulette_ver01/sn87090131/1909/04/30/ed-1/seq-4/1","Birmingham, AL","Birmingham","AL",-86.810357,33.518589,NA,2516,"sn87090131","-91.23349, 31.918368","-86.810357, 33.518589",280,"N","1900s","Louisiana","South"
"36",37,8201,"The News-Herald ","Hillsboro, Ohio",-83.61159,39.202287,"Hillsboro","OH","2/10/1887",1887,"seq-2","https://articleextractor.org/pages/8201/ohi_india_ver01/sn85038161/1887/02/10/ed-1/seq-2/1","Atlanta, GA","Atlanta","GA",-84.387684,33.748752,NA,2517,"sn85038161","-83.61159, 39.202287","-84.387684, 33.748752",380,"N","1880s","Ohio","North Central"
"37",38,8202,"The Emporia weekly news ","Emporia, Kansas",-96.18166,38.403903,"Emporia","KS","7/2/1885",1885,"seq-1","https://articleextractor.org/pages/8202/khi_brown_ver01/sn85030221/1885/07/02/ed-1/seq-1/1","Gainsville, TX","Gainsville","TX",-97.133345,33.625941,NA,2518,"sn85030221","-96.18166, 38.403903","-97.133345, 33.625941",335,"N","1880s","Kansas","North Central"
"38",39,8204,"The Cheyenne daily leader ","Cheyenne, Wyoming",-104.82025,41.139981,"Cheyenne","WY","10/28/1888",1888,"seq-1","https://articleextractor.org/pages/8204/wyu_calpet_ver02/sn86072173/1888/10/28/ed-1/seq-1/2","Woodlawn Mills, Nashville, TN","Woodlawn Mills, Nashville","TN",-86.781602,36.162664,NA,2519,"sn86072173","-104.82025, 41.139981","-86.781602, 36.162664",1031,"N","1880s","Wyoming","West"
"39",40,8213,"The Brookhaven leader ","Brookhaven, Mississippi",-90.44065,31.579059,"Brookhaven","MS","6/21/1888",1888,"seq-2","https://articleextractor.org/pages/8213/msar_agate_ver01/sn86074058/1888/06/21/ed-1/seq-2/3","Natchez, MI","Natchez","MI",-91.403171,31.560444,"Said ""near Natchez,"" didn't give exact location. 2 men lynched",2522,"sn86074058","-90.44065, 31.579059","-91.403171, 31.560444",57,"N","1880s","Mississippi","South"
"40",41,8220,"The Indianapolis journal ","Indianapolis , Indiana",-86.15807,39.768403,"Indianapolis ","IN","7/22/1897",1897,"seq-5","https://articleextractor.org/pages/8220/in_bradlaugh_ver02/sn82015679/1897/07/22/ed-1/seq-5/2","New Iberia, LA","New Iberia","LA",-91.818728,30.003536,NA,2525,"sn82015679","-86.15807, 39.768403","-91.818728, 30.003536",747,"N","1890s","Indiana","North Central"
"41",42,8222,"Los Angeles herald ","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA","11/1/1890",1890,"seq-2","https://articleextractor.org/pages/8222/curiv_lovelock_ver01/sn84025968/1890/11/01/ed-1/seq-2/2","Dalton, GA","Dalton","GA",-84.970223,34.769802,"2 men lynched",2526,"sn84025968","-118.24264, 34.054908","-84.970223, 34.769802",1891,"N","1890s","California","West"
"42",43,8237,NA,"NA, Nebraska",-99.90181,41.492537,NA,"NE","2/12/1897",1897,"seq-6","https://articleextractor.org/pages/8237/nbu_indianola_ver01/sn94056415/1897/02/12/ed-1/seq-6/2","Bowling Green, KY","Bowling Green","KY",-86.480804,36.968522,NA,2529,"sn94056415","-99.90181, 41.492537","-86.480804, 36.968522",783,"N","1890s","Nebraska","North Central"
"43",44,8240,"Los Angeles herald ","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA","7/4/1910",1910,"seq-1","https://articleextractor.org/pages/8240/curiv_rubidoux_ver01/sn85042462/1910/07/04/ed-1/seq-1/1","Charleston, MO","Charleston","MO",-89.350631,36.920885,NA,2530,"sn85042462","-118.24264, 34.054908","-89.350631, 36.920885",1633,"N","1910s","California","West"
"44",45,8241,"Semi-weekly interior journal ","Stanford, Kentucky",-84.66189,37.53119,"Stanford","KY","10/8/1886",1886,"seq-2","https://articleextractor.org/pages/8241/kyu_hairspray_ver01/sn85052020/1886/10/08/ed-1/seq-2/1","Steelville, MO","Steelville","MO",-91.354868,37.9681,NA,2531,"sn85052020","-84.66189, 37.53119","-91.354868, 37.9681",367,"N","1880s","Kentucky","South"
"45",46,8242,NA,"NA, Georgia",-82.90712,32.157435,NA,"GA","6/4/1909",1909,"seq-1","https://articleextractor.org/pages/8242/gu_graco_ver01/sn86090947/1909/06/04/ed-1/seq-1/1","Frankfort, KY","Frankfort","KY",-84.873284,38.200905,NA,2532,"sn86090947","-82.90712, 32.157435","-84.873284, 38.200905",433,"N","1900s","Georgia","South"
"46",47,8245,"The Wichita daily eagle ","Wichita, Kansas",-97.33005,37.687176,"Wichita","KS","9/4/1890",1890,"seq-2","https://articleextractor.org/pages/8245/khi_ingalls_ver02/sn82014635/1890/09/04/ed-1/seq-2/1","Poplar Bluff, MO","Poplar Bluff","MO",-90.392888,36.756999,NA,2534,"sn82014635","-97.33005, 37.687176","-90.392888, 36.756999",387,"N","1890s","Kansas","North Central"
"47",48,8245,"The Wichita daily eagle ","Wichita, Kansas",-97.33005,37.687176,"Wichita","KS","9/4/1890",1890,"seq-2","https://articleextractor.org/pages/8245/khi_ingalls_ver02/sn82014635/1890/09/04/ed-1/seq-2/1","Poplar Bluff, MO","Poplar Bluff","MO",-90.392888,36.756999,NA,2535,"sn82014635","-97.33005, 37.687176","-90.392888, 36.756999",387,"N","1890s","Kansas","North Central"
"48",49,8248,"River Falls journal ","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI","1/3/1884",1884,"seq-2","https://articleextractor.org/pages/8248/whi_galky_ver01/sn85033255/1884/01/03/ed-1/seq-2/1","Yazoo, MI","Yazoo","MI",-85.602364,44.314844,"4 people lynched",2538,"sn85033255","-92.62381, 44.861356","-85.602364, 44.314844",348,"N","1880s","Wisconsin","North Central"
"49",50,8248,"River Falls journal ","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI","1/3/1884",1884,"seq-2","https://articleextractor.org/pages/8248/whi_galky_ver01/sn85033255/1884/01/03/ed-1/seq-2/1","Yazoo, MI","Yazoo","MI",-85.602364,44.314844,"4 people lynched",2539,"sn85033255","-92.62381, 44.861356","-85.602364, 44.314844",348,"N","1880s","Wisconsin","North Central"
"50",51,8248,"River Falls journal ","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI","1/3/1884",1884,"seq-2","https://articleextractor.org/pages/8248/whi_galky_ver01/sn85033255/1884/01/03/ed-1/seq-2/1","Yazoo, MI","Yazoo","MI",-85.602364,44.314844,"4 people lynched",2540,"sn85033255","-92.62381, 44.861356","-85.602364, 44.314844",348,"N","1880s","Wisconsin","North Central"
"51",52,8250,"The Forrest City times ","Forrest City, Arkansas",-90.78523,35.009258,"Forrest City","AR","5/20/1892",1892,"seq-1","https://articleextractor.org/pages/8250/arhi_alakazam_ver01/sn84022960/1892/05/20/ed-1/seq-1/1","Little Rock, AR","Little Rock","AR",-92.288016,34.744462,NA,2541,"sn84022960","-90.78523, 35.009258","-92.288016, 34.744462",87,"Y","1890s","Arkansas","South"
"52",53,8250,"The Forrest City times ","Forrest City, Arkansas",-90.78523,35.009258,"Forrest City","AR","5/20/1892",1892,"seq-1","https://articleextractor.org/pages/8250/arhi_alakazam_ver01/sn84022960/1892/05/20/ed-1/seq-1/1","Little Rock, AR","Little Rock","AR",-92.288016,34.744462,NA,2542,"sn84022960","-90.78523, 35.009258","-92.288016, 34.744462",87,"Y","1890s","Arkansas","South"
"53",54,8252,"The Birmingham age-herald ","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL","7/5/1910",1910,"seq-1","https://articleextractor.org/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1","Charleston, MO","Charleston","MO",-89.350631,36.920885,"double lynching",2543,"sn85038485","-86.81036, 33.518589","-89.350631, 36.920885",276,"N","1910s","Alabama","South"
"54",55,8252,"The Birmingham age-herald ","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL","7/5/1910",1910,"seq-1","https://articleextractor.org/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1","Charleston, MO","Charleston","MO",-89.350631,36.920885,"double lynching",2544,"sn85038485","-86.81036, 33.518589","-89.350631, 36.920885",276,"N","1910s","Alabama","South"
"55",56,8252,"The Birmingham age-herald ","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL","7/5/1910",1910,"seq-1","https://articleextractor.org/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1","Charleston, MO","Charleston","MO",-89.350631,36.920885,"double lynching",2545,"sn85038485","-86.81036, 33.518589","-89.350631, 36.920885",276,"N","1910s","Alabama","South"
"56",57,8252,"The Birmingham age-herald ","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL","7/5/1910",1910,"seq-1","https://articleextractor.org/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1","Charleston, MO","Charleston","MO",-89.350631,36.920885,"double lynching",2546,"sn85038485","-86.81036, 33.518589","-89.350631, 36.920885",276,"N","1910s","Alabama","South"
"57",58,8252,"The Birmingham age-herald ","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL","7/5/1910",1910,"seq-1","https://articleextractor.org/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1","Charleston, MO","Charleston","MO",-89.350631,36.920885,"double lynching",2547,"sn85038485","-86.81036, 33.518589","-89.350631, 36.920885",276,"N","1910s","Alabama","South"
"58",59,8253,"The Magnolia gazette ","Magnolia, Mississippi",-90.45871,31.143233,"Magnolia","MS","6/25/1892",1892,"seq-3","https://articleextractor.org/pages/8253/msar_ikat_ver01/sn85034447/1892/06/25/ed-1/seq-3/1","M'Comb City, MI","M'Comb City","MI",-82.958895,42.700963,NA,2548,"sn85034447","-90.45871, 31.143233","-82.958895, 42.700963",900,"N","1890s","Mississippi","South"
"59",60,8254,"The Mankato free press ","Mankato, Minnesota",-93.9994,44.163578,"Mankato","MN","5/6/1892",1892,"seq-6","https://articleextractor.org/pages/8254/mnhi_fencing_ver02/sn83016589/1892/05/06/ed-1/seq-6/1","Nashville, TN","Nashville","TN",-86.781602,36.162664,"attempted lynching stopped",2549,"sn83016589","-93.9994, 44.163578","-86.781602, 36.162664",672,"N","1890s","Minnesota","North Central"
"60",61,8254,"The Mankato free press ","Mankato, Minnesota",-93.9994,44.163578,"Mankato","MN","5/6/1892",1892,"seq-6","https://articleextractor.org/pages/8254/mnhi_fencing_ver02/sn83016589/1892/05/06/ed-1/seq-6/1","Nashville, TN","Nashville","TN",-86.781602,36.162664,"attempted lynching stopped",2550,"sn83016589","-93.9994, 44.163578","-86.781602, 36.162664",672,"N","1890s","Minnesota","North Central"
"61",62,8256,NA,"NA, Wisconsin",-88.78787,43.78444,NA,"WI","10/15/1892",1892,"seq-2","https://articleextractor.org/pages/8256/whi_jane_ver01/sn86086770/1892/10/15/ed-1/seq-2/1","Dunsmir, CA","Dunsmir","CA",-122.271953,41.208209,NA,2551,"sn86086770","-88.78787, 43.78444","-122.271953, 41.208209",1705,"N","1890s","Wisconsin","North Central"
"62",63,8256,NA,"NA, Wisconsin",-88.78787,43.78444,NA,"WI","10/15/1892",1892,"seq-2","https://articleextractor.org/pages/8256/whi_jane_ver01/sn86086770/1892/10/15/ed-1/seq-2/1","Dunsmir, CA","Dunsmir","CA",-122.271953,41.208209,NA,2552,"sn86086770","-88.78787, 43.78444","-122.271953, 41.208209",1705,"N","1890s","Wisconsin","North Central"
"63",64,8257,NA,"NA, Tennessee",-86.58045,35.517491,NA,"TN","2/27/1886",1886,"seq-4","https://articleextractor.org/pages/8257/tu_gordon_ver01/sn93063896/1886/02/27/ed-1/seq-4/1","Savannah, GA","Savannah","GA",-81.091203,32.080899,"2 boys found lynched (8 and 10 years old). Bound at their hands and their feet",2553,"sn93063896","-86.58045, 35.517491","-81.091203, 32.080899",395,"N","1880s","Tennessee","South"
"64",65,8258,"People's voice ","Wellington, Kansas",-97.37171,37.2653,"Wellington","KS","5/12/1893",1893,"seq-6","https://articleextractor.org/pages/8258/khi_goodnow_ver01/sn85032801/1893/05/12/ed-1/seq-6/1","Albuquerque, NM","Albuquerque","NM",-106.650422,35.084386,"3 men lynched",2554,"sn85032801","-97.37171, 37.2653","-106.650422, 35.084386",539,"N","1890s","Kansas","North Central"
"65",66,8259,NA,"NA, Missouri",101.75239,20.92408,NA,"MO","2/18/1892",1892,"seq-4","https://articleextractor.org/pages/8259/mohi_flash_ver02/sn89067453/1892/02/18/ed-1/seq-4/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2555,"sn89067453","101.75239, 20.92408","-79.941427, 37.27097",8424,"N","1890s","Missouri","North Central"
"66",67,8260,NA,"NA, Missouri",101.75239,20.92408,NA,"MO","2/9/1893",1893,"seq-4","https://articleextractor.org/pages/8260/mohi_flash_ver02/sn89067453/1893/02/09/ed-1/seq-4/1","Richland, VA","Richland","VA",-81.793727,37.093169,"4 men lynched",2556,"sn89067453","101.75239, 20.92408","-81.793727, 37.093169",8431,"N","1890s","Missouri","North Central"
