file_id,newspaper_name,lynch_address,date,news_address,news_location_lon,news_location_lat,newspaper_city,newspaper_state_code,year,page,url,city_lynch,state_lynch,sn,lynching.lon,lynching.lat,miles,in_state,decade,Newspaper_State,Newspaper_Region,Border,words,file_id_old
8189_0,NA,"Brenham, TX",1887-02-03T00:00:00Z,"NA, Texas",-99.90181,31.968599,NA,TX,1887,seq-6,https://articleextractor.org/pages/8189/txdn_echo_ver03/sn86064205/1887/02/03/ed-1/seq-6/1,Brenham,TX,,,,,Y,1880s,Texas,South,Not_Border,333,8189
8190_0,The Topeka state journal,"Not specified, MI",1910-09-03T00:00:00Z,"Topeka, Kansas",-95.67516,39.047345,Topeka,KS,1910,seq-12,https://articleextractor.org/pages/8190/khi_edelbrock_ver01/sn82016014/1910/09/03/ed-1/seq-12/1,Not specified,MS,,,,,N,1910s,Kansas,Midwest,Not_Border,44,8190
8191_0,St. Paul daily globe,"Louisville, KY",1893-08-29T00:00:00Z,"Saint Paul, Minnesota",-93.08996,44.953703,Saint Paul,MN,1893,seq-4,https://articleextractor.org/pages/8191/mnhi_gonvick_ver01/sn90059522/1893/08/29/ed-1/seq-4/1,Louisville,KY,,,,,N,1890s,Minnesota,Midwest,Not_Border,205,8191
8192_0,The Salt Lake herald,"Atlanta, GA",1887-07-28T00:00:00Z,"Salt Lake City , Utah",-111.89105,40.760779,Salt Lake City,UT,1887,seq-1,https://articleextractor.org/pages/8192/uuml_griffith_ver01/sn85058130/1887/07/28/ed-1/seq-1/1,Atlanta,GA,,,,,N,1880s,Utah,West,Not_Border,29,8192
8194_0,NA,"Roane County, WV",1887-11-17T00:00:00Z,"NA, South Dakota",-99.90181,43.969515,NA,SD,1887,seq-2,https://articleextractor.org/pages/8194/sdhi_imbe_ver01/sn98062948/1887/11/17/ed-1/seq-2/1,Roane County,WV,,,,,N,1880s,South Dakota,Midwest,Not_Border,44,8194
8197_0,The Russellville Democrat,"Varner, Lincoln County, AR",1893-11-30T00:00:00Z,"Russellville, Arkansas",-93.1337,35.278116,Russellville,AR,1893,seq-2,https://articleextractor.org/pages/8197/arhi_igglybuff_ver01/sn84023017/1893/11/30/ed-1/seq-2/1,"Varner, Lincoln County",AR,,,,,Y,1890s,Arkansas,South,Not_Border,29,8197
8200_0,Tensas gazette,"Birmingham, AL",1909-04-30T00:00:00Z,"St. Joseph, Louisiana",-91.23349,31.918368,St. Joseph,LA,1909,seq-4,https://articleextractor.org/pages/8200/lu_roulette_ver01/sn87090131/1909/04/30/ed-1/seq-4/1,Birmingham,AL,,,,,N,1900s,Louisiana,South,Not_Border,12,8200
8201_0,The News-Herald,"Atlanta, GA",1887-02-10T00:00:00Z,"Hillsboro, Ohio",-83.61159,39.202287,Hillsboro,OH,1887,seq-2,https://articleextractor.org/pages/8201/ohi_india_ver01/sn85038161/1887/02/10/ed-1/seq-2/1,Atlanta,GA,,,,,N,1880s,Ohio,Midwest,Not_Border,29,8201
8202_0,The Emporia weekly news,"Gainsville, TX",1885-07-02T00:00:00Z,"Emporia, Kansas",-96.18166,38.403903,Emporia,KS,1885,seq-1,https://articleextractor.org/pages/8202/khi_brown_ver01/sn85030221/1885/07/02/ed-1/seq-1/1,Gainsville,TX,,,,,N,1880s,Kansas,Midwest,Not_Border,422,8202
8204_0,The Cheyenne daily leader,"Woodlawn Mills, Nashville, TN",1888-10-28T00:00:00Z,"Cheyenne, Wyoming",-104.82025,41.139981,Cheyenne,WY,1888,seq-1,https://articleextractor.org/pages/8204/wyu_calpet_ver02/sn86072173/1888/10/28/ed-1/seq-1/2,"Woodlawn Mills, Nashville",TN,,,,,N,1880s,Wyoming,West,Not_Border,841,8204
8213_0,The Brookhaven leader,"Natchez, MI",1888-06-21T00:00:00Z,"Brookhaven, Mississippi",-90.44065,31.579059,Brookhaven,MS,1888,seq-2,https://articleextractor.org/pages/8213/msar_agate_ver01/sn86074058/1888/06/21/ed-1/seq-2/3,Natchez,MI,,,,,N,1880s,Mississippi,South,Not_Border,352,8213
8237_0,NA,"Bowling Green, KY",1897-02-12T00:00:00Z,"NA, Nebraska",-99.90181,41.492537,NA,NE,1897,seq-6,https://articleextractor.org/pages/8237/nbu_indianola_ver01/sn94056415/1897/02/12/ed-1/seq-6/2,Bowling Green,KY,,,,,N,1890s,Nebraska,Midwest,Not_Border,1104,8237
8240_0,Los Angeles herald,"Charleston, MO",1910-07-04T00:00:00Z,"Los Angeles , California",-118.24264,34.054908,Los Angeles,CA,1910,seq-1,https://articleextractor.org/pages/8240/curiv_rubidoux_ver01/sn85042462/1910/07/04/ed-1/seq-1/1,Charleston,MO,,,,,N,1910s,California,West,Not_Border,13,8240
8241_0,Semi-weekly interior journal,"Steelville, MO",1886-10-08T00:00:00Z,"Stanford, Kentucky",-84.66189,37.53119,Stanford,KY,1886,seq-2,https://articleextractor.org/pages/8241/kyu_hairspray_ver01/sn85052020/1886/10/08/ed-1/seq-2/1,Steelville,MO,,,,,N,1880s,Kentucky,South,Border,45,8241
8242_0,NA,"Frankfort, KY",1909-06-04T00:00:00Z,"NA, Georgia",-82.90712,32.157435,NA,GA,1909,seq-1,https://articleextractor.org/pages/8242/gu_graco_ver01/sn86090947/1909/06/04/ed-1/seq-1/1,Frankfort,KY,,,,,N,1900s,Georgia,South,Not_Border,400,8242
8253_0,The Magnolia gazette,"M'Comb City, MI",1892-06-25T00:00:00Z,"Magnolia, Mississippi",-90.45871,31.143233,Magnolia,MS,1892,seq-3,https://articleextractor.org/pages/8253/msar_ikat_ver01/sn85034447/1892/06/25/ed-1/seq-3/1,M'Comb City,MI,,,,,N,1890s,Mississippi,South,Not_Border,408,8253
8257_0,NA,"Savannah, GA",1886-02-27T00:00:00Z,"NA, Tennessee",-86.58045,35.517491,NA,TN,1886,seq-4,https://articleextractor.org/pages/8257/tu_gordon_ver01/sn93063896/1886/02/27/ed-1/seq-4/1,Savannah,GA,,,,,N,1880s,Tennessee,South,Not_Border,109,8257
8258_0,People's voice,"Albuquerque, NM",1893-05-12T00:00:00Z,"Wellington, Kansas",-97.37171,37.2653,Wellington,KS,1893,seq-6,https://articleextractor.org/pages/8258/khi_goodnow_ver01/sn85032801/1893/05/12/ed-1/seq-6/1,Albuquerque,NM,,,,,N,1890s,Kansas,Midwest,Not_Border,63,8258
8259_0,NA,"Roanoke, VA",1892-02-18T00:00:00Z,"NA, Missouri",101.75239,20.92408,NA,MO,1892,seq-4,https://articleextractor.org/pages/8259/mohi_flash_ver02/sn89067453/1892/02/18/ed-1/seq-4/1,Roanoke,VA,,,,,N,1890s,Missouri,Midwest,Border,44,8259
8260_0,NA,"Richland, VA",1893-02-09T00:00:00Z,"NA, Missouri",101.75239,20.92408,NA,MO,1893,seq-4,https://articleextractor.org/pages/8260/mohi_flash_ver02/sn89067453/1893/02/09/ed-1/seq-4/1,Richland,VA,,,,,N,1890s,Missouri,Midwest,Border,52,8260
8262_0,NA,"Monroeville, AL",1892-10-22T00:00:00Z,"NA, Missouri",101.75239,20.92408,NA,MO,1892,seq-1,https://articleextractor.org/pages/8262/mohi_jerome_ver01/sn89066818/1892/10/22/ed-1/seq-1/1,Monroeville,AL,,,,,N,1890s,Missouri,Midwest,Border,31,8262
8262_1,NA,"Monroeville, AL",1892-10-22T00:00:00Z,"NA, Missouri",101.75239,20.92408,NA,MO,1892,seq-1,https://articleextractor.org/pages/8262/mohi_jerome_ver01/sn89066818/1892/10/22/ed-1/seq-1/1,Monroeville,AL,,,,,N,1890s,Missouri,Midwest,Border,16,8262
8263_0,NA,"Mobile, AL",1892-05-28T00:00:00Z,"NA, North Dakota",-101.00201,47.551493,NA,ND,1892,seq-2,https://articleextractor.org/pages/8263/ndhi_lawrencium_ver01/sn88076679/1892/05/28/ed-1/seq-2/1,Mobile,AL,,,,,N,1890s,North Dakota,Midwest,Not_Border,137,8263
8268_0,NA,"Mound City, IL",1884-06-28T00:00:00Z,"NA, Illinois",-89.39853,40.633125,NA,IL,1884,seq-3,https://articleextractor.org/pages/8268/iune_archives_ver01/sn87082573/1884/06/28/ed-1/seq-3/1,Mound City,IL,,,,,Y,1880s,Illinois,Midwest,Not_Border,455,8268
8269_0,The morning news,"cincinnati, OH",1890-03-21T00:00:00Z,"Savannah, Georgia",-81.0912,32.080899,Savannah,GA,1890,seq-2,https://articleextractor.org/pages/8269/gu_columbo_ver02/sn86063034/1890/03/21/ed-1/seq-2/1,cincinnati,OH,,,,,N,1890s,Georgia,South,Not_Border,75,8269
8269_1,The morning news,"cincinnati, OH",1890-03-21T00:00:00Z,"Savannah, Georgia",-81.0912,32.080899,Savannah,GA,1890,seq-2,https://articleextractor.org/pages/8269/gu_columbo_ver02/sn86063034/1890/03/21/ed-1/seq-2/1,cincinnati,OH,,,,,N,1890s,Georgia,South,Not_Border,45,8269
8276_0,NA,"Platte City, MO",1909-08-06T00:00:00Z,"NA, South Dakota",-99.90181,43.969515,NA,SD,1909,seq-6,https://articleextractor.org/pages/8276/sdhi_dagger_ver01/sn96090259/1909/08/06/ed-1/seq-6/1,Platte City,MO,,,,,N,1900s,South Dakota,Midwest,Not_Border,146,8276
8278_0,The morning news,"Charleston, WV",1887-10-18T00:00:00Z,"Savannah, Georgia",-81.0912,32.080899,Savannah,GA,1887,seq-1,https://articleextractor.org/pages/8278/gu_bobbsey_ver02/sn86063034/1887/10/18/ed-1/seq-1/1,Charleston,WV,,,,,N,1880s,Georgia,South,Not_Border,202,8278
8280_0,St. Paul daily globe,"Jersey City, NJ",1887-08-15T00:00:00Z,"Saint Paul, Minnesota",-93.08996,44.953703,Saint Paul,MN,1887,seq-2,https://articleextractor.org/pages/8280/mnhi_sebeka_ver01/sn90059522/1887/08/15/ed-1/seq-2/1,Jersey City,NJ,,,,,N,1880s,Minnesota,Midwest,Not_Border,236,8280
8288_0,NA,"Fort Scott, KS",1900-01-26T00:00:00Z,"NA, Michigan",-85.60236,44.314844,NA,MI,1900,seq-11,https://articleextractor.org/pages/8288/mimtptc_baldwin_ver01/sn98066406/1900/01/26/ed-1/seq-11/1,Fort Scott,KS,,,,,N,1900s,Michigan,Midwest,Not_Border,190,8288
8289_0,NA,"Butte, MT",1917-08-01T00:00:00Z,"NA, Mississippi",-89.39853,32.354668,NA,MS,1917,seq-1,https://articleextractor.org/pages/8289/msar_damask_ver02/sn89065008/1917/08/01/ed-1/seq-1/1,Butte,MT,,,,,N,1910s,Mississippi,South,Not_Border,102,8289
8290_0,The news & observer,"Henderson, TN",1899-04-19T00:00:00Z,"Raleigh, North Carolina",-78.63818,35.77959,Raleigh,NC,1899,seq-2,https://articleextractor.org/pages/8290/ncu_ford_ver02/sn85042104/1899/04/19/ed-1/seq-2/1,Henderson,TN,,,,,N,1890s,North Carolina,South,Not_Border,68,8290
8292_0,NA,"Whitney, OR",1914-07-17T00:00:00Z,"NA, Oregon",-120.5542,43.804133,NA,OR,1914,seq-1,https://articleextractor.org/pages/8292/oru_bobolink_ver01/sn99063957/1914/07/17/ed-1/seq-1/1,Whitney,OR,,,,,Y,1910s,Oregon,West,Not_Border,478,8292
8301_0,NA,"West Denver, CO",1891-05-05T00:00:00Z,"NA, Illinois",-89.39853,40.633125,NA,IL,1891,seq-4,https://articleextractor.org/pages/8301/iune_deckle_ver01/sn92053945/1891/05/05/ed-1/seq-4/1,West Denver,CO,,,,,N,1890s,Illinois,Midwest,Not_Border,89,8301
8304_0,NA,"Nebraska City, NE",1887-07-28T00:00:00Z,"NA, Nebraska",-99.90181,41.492537,NA,NE,1887,seq-4,https://articleextractor.org/pages/8304/nbu_chadron_ver01/sn99021999/1887/07/28/ed-1/seq-4/1,Nebraska City,NE,,,,,Y,1880s,Nebraska,Midwest,Not_Border,125,8304
8308_0,Grant County herald,"Preston, WI",1889-12-05T00:00:00Z,"Lancaster, Wisconsin",-90.71068,42.84749,Lancaster,WI,1889,seq-4,https://articleextractor.org/pages/8308/whi_jyme_ver01/sn85033133/1889/12/05/ed-1/seq-4/1,Preston,WI,,,,,Y,1880s,Wisconsin,Midwest,Not_Border,235,8308
8314_0,The Chanute times,"Somerset County, MD",1897-06-18T00:00:00Z,"Chanute, Kansas",-95.4572,37.679214,Chanute,KS,1897,seq-2,https://articleextractor.org/pages/8314/khi_isabel_ver01/sn85030529/1897/06/18/ed-1/seq-2/2,Somerset County,MD,,,,,N,1890s,Kansas,Midwest,Not_Border,24,8314
8316_0,NA,"Valentine, NE",1911-06-21T00:00:00Z,"NA, Virginia",-57.59659,-25.309101,NA,VA,1911,seq-6,https://articleextractor.org/pages/8316/vi_oldenburg_ver01/sn90052005/1911/06/21/ed-1/seq-6/1,Valentine,NE,,,,,N,1910s,Virginia,South,Not_Border,62,8316
8321_0,NA,"Kidder County, ND",1912-11-13T00:00:00Z,"NA, Minnesota",-94.6859,46.729553,NA,MN,1912,seq-3,https://articleextractor.org/pages/8321/mnhi_buick_ver01/sn89081128/1912/11/13/ed-1/seq-3/3,Kidder County,ND,,,,,N,1910s,Minnesota,Midwest,Not_Border,53,8321
8327_0,The Salt Lake herald,"Milton, WV",1889-11-02T00:00:00Z,"Salt Lake City , Utah",-111.89105,40.760779,Salt Lake City,UT,1889,seq-1,https://articleextractor.org/pages/8327/uuml_griffith_ver01/sn85058130/1889/11/02/ed-1/seq-1/2,Milton,WV,,,,,N,1880s,Utah,West,Not_Border,70,8327
8328_0,The Globe-republican,"Little Rock, AK",1898-08-18T00:00:00Z,"Dodge City, Kansas",-100.01708000000001,37.752798,Dodge City,KS,1898,seq-7,https://articleextractor.org/pages/8328/khi_cessna_ver01/sn84029853/1898/08/18/ed-1/seq-7/2,Little Rock,AR,,,,,N,1890s,Kansas,Midwest,Not_Border,249,8328
8329_0,The herald,"Lafayette County, MS",1895-05-21T00:00:00Z,"Los Angeles , California",-118.24264,34.054908,Los Angeles,CA,1895,seq-1,https://articleextractor.org/pages/8329/curiv_ogilby_ver01/sn85042461/1895/05/21/ed-1/seq-1/2,Lafayette County,MS,,,,,N,1890s,California,West,Not_Border,248,8329
8330_0,The daily morning Astorian,"Owensboro, KY",1889-12-20T00:00:00Z,"Astoria, Oregon",-123.83125,46.187884,Astoria,OR,1889,seq-3,https://articleextractor.org/pages/8330/oru_hufnagel_ver02/sn96061150/1889/12/20/ed-1/seq-3/2,Owensboro,KY,,,,,N,1880s,Oregon,West,Not_Border,999,8330
8331_0,Democratic Northwest,"Columbia, LA",1889-05-30T00:00:00Z,"Napoleon, Ohio",-84.12522,41.392273,Napoleon,OH,1889,seq-7,https://articleextractor.org/pages/8331/ohi_ingstad_ver01/sn84028296/1889/05/30/ed-1/seq-7/3,Columbia,LA,,,,,N,1880s,Ohio,Midwest,Not_Border,50,8331
8336_0,Daily inter mountain,"Leavenworth, KS",1901-01-15T00:00:00Z,"Butte, Montana",-112.53478,46.003823,Butte,MT,1901,seq-8,https://articleextractor.org/pages/8336/mthi_kestrel_ver02/sn85053057/1901/01/15/ed-1/seq-8/2,Leavenworth,KS,,,,,N,1900s,Montana,West,Not_Border,137,8336
8336_1,Daily inter mountain,"Leavenworth, KS",1901-01-15T00:00:00Z,"Butte, Montana",-112.53478,46.003823,Butte,MT,1901,seq-8,https://articleextractor.org/pages/8336/mthi_kestrel_ver02/sn85053057/1901/01/15/ed-1/seq-8/2,Leavenworth,KS,,,,,N,1900s,Montana,West,Not_Border,48,8336
8340_0,NA,"DeKalb County, TN",1901-08-08T00:00:00Z,"NA, South Dakota",-99.90181,43.969515,NA,SD,1901,seq-2,https://articleextractor.org/pages/8340/sdhi_jicama_ver01/sn98062949/1901/08/08/ed-1/seq-2/3,DeKalb County,TN,,,,,N,1900s,South Dakota,Midwest,Not_Border,348,8340
8342_0,The Manitowoc pilot,"Glencoe, MN",1896-09-10T00:00:00Z,"Manitowoc, Wisconsin",-87.65758,44.088606,Manitowoc,WI,1896,seq-3,https://articleextractor.org/pages/8342/whi_grace_ver01/sn85033139/1896/09/10/ed-1/seq-3/3,Glencoe,MN,,,,,N,1890s,Wisconsin,Midwest,Not_Border,90,8342
8346_0,The Birmingham age-herald,"Monroe, LA",1907-03-17T00:00:00Z,"Birmingham, Alabama",-86.81036,33.518589,Birmingham,AL,1907,seq-2,https://articleextractor.org/pages/8346/au_evans_ver01/sn85038485/1907/03/17/ed-1/seq-2/2,Monroe,LA,,,,,N,1900s,Alabama,South,Not_Border,263,8346
8348_0,Tulsa daily world,"Somerset, PA",1911-11-12T00:00:00Z,"Tulsa, Oklahoma",-95.99277,36.153982,Tulsa,OK,1911,seq-27,https://articleextractor.org/pages/8348/okhi_apache_ver02/sn85042344/1911/11/12/ed-1/seq-27/2,Somerset,PA,,,,,N,1910s,Oklahoma,South,Not_Border,39,8348
8349_0,The news & observer,"Bryan, GA",1901-03-15T00:00:00Z,"Raleigh, North Carolina",-78.63818,35.77959,Raleigh,NC,1901,seq-2,https://articleextractor.org/pages/8349/ncu_griffin_ver01/sn85042104/1901/03/15/ed-1/seq-2/3,Bryan,GA,,,,,N,1900s,North Carolina,South,Not_Border,725,8349
8350_0,The Adair County news,"Russellville, AK",1908-08-05T00:00:00Z,"Columbia, Kentucky",-85.30635,37.102841,Columbia,KY,1908,seq-4,https://articleextractor.org/pages/8350/kyu_charo_ver01/sn86069496/1908/08/05/ed-1/seq-4/2,Russellville,KY,,,,,N,1900s,Kentucky,South,Border,488,8350
8358_0,Los Angeles herald,"Bastrop, LA",1891-11-05T00:00:00Z,"Los Angeles , California",-118.24264,34.054908,Los Angeles,CA,1891,seq-5,https://articleextractor.org/pages/8358/curiv_lovelock_ver01/sn84025968/1891/11/05/ed-1/seq-5/2,Bastrop,LA,,,,,N,1890s,California,West,Not_Border,1050,8358
8362_0,NA,"Owensburg, KY",1893-08-10T00:00:00Z,"NA, Delaware",-75.52767,38.910832,NA,DE,1893,seq-3,https://articleextractor.org/pages/8362/deu_horcrux_ver01/sn88053046/1893/08/10/ed-1/seq-3/2,Owensburg,KY,,,,,N,1890s,Delaware,South,Border,85,8362
8371_0,The morning news,"Minden, LA",1894-09-10T00:00:00Z,"Savannah, Georgia",-81.0912,32.080899,Savannah,GA,1894,seq-1,https://articleextractor.org/pages/8371/gu_drew_ver02/sn86063034/1894/09/10/ed-1/seq-1/1,Minden,LA,,,,,N,1890s,Georgia,South,Not_Border,665,8371
8372_0,NA,"Fulton, MO",1895-08-21T00:00:00Z,"NA, Missouri",101.75239,20.92408,NA,MO,1895,seq-1,https://articleextractor.org/pages/8372/mohi_marmaduke_ver02/sn90061371/1895/08/21/ed-1/seq-1/1,Fulton,MO,,,,,Y,1890s,Missouri,Midwest,Border,70,8372
8373_0,NA,"Wachita Falls, TX",1896-03-05T00:00:00Z,"NA, Delaware",-75.52767,38.910832,NA,DE,1896,seq-6,https://articleextractor.org/pages/8373/deu_horcrux_ver01/sn88053046/1896/03/05/ed-1/seq-6/1,Wachita Falls,TX,,,,,N,1890s,Delaware,South,Border,1055,8373
8375_0,Reporter and farmer,"Woodstock, AL",1896-12-31T00:00:00Z,"Webster, South Dakota",-97.52009,45.33218,Webster,SD,1896,seq-10,https://articleextractor.org/pages/8375/sdhi_leek_ver02/sn99068116/1896/12/31/ed-1/seq-10/1,Woodstock,AL,,,,,N,1890s,South Dakota,Midwest,Not_Border,304,8375
8378_0,Evening journal,"Atlanta, GA",1915-08-17T00:00:00Z,"Wilmington, Delaware",-75.54839,39.744655,Wilmington,DE,1915,seq-4,https://articleextractor.org/pages/8378/deu_fairfax_ver01/sn85042354/1915/08/17/ed-1/seq-4/1,Atlanta,GA,,,,,N,1910s,Delaware,South,Border,584,8378
8382_0,Vernon County censor,"Rulo, NE",1900-11-07T00:00:00Z,"Viroqua, Wisconsin",-90.88874,43.556917,Viroqua,WI,1900,seq-2,https://articleextractor.org/pages/8382/whi_clabbert_ver01/sn85040451/1900/11/07/ed-1/seq-2/1,Rulo,NE,,,,,N,1900s,Wisconsin,Midwest,Not_Border,129,8382
8382_1,Vernon County censor,"Rulo, NE",1900-11-07T00:00:00Z,"Viroqua, Wisconsin",-90.88874,43.556917,Viroqua,WI,1900,seq-2,https://articleextractor.org/pages/8382/whi_clabbert_ver01/sn85040451/1900/11/07/ed-1/seq-2/1,Rulo,NE,,,,,N,1900s,Wisconsin,Midwest,Not_Border,53,8382
8383_0,The Waxahachie daily light,"Okomulgee, OK",1911-09-20T00:00:00Z,"Waxahachie, Texas",-96.84833,32.386531,Waxahachie,TX,1911,seq-1,https://articleextractor.org/pages/8383/txdn_eastland_ver01/sn86090369/1911/09/20/ed-1/seq-1/1,Okomulgee,OK,,,,,N,1910s,Texas,South,Not_Border,70,8383
8386_0,Americus times-recorder,"Louisville, MI",1913-09-24T00:00:00Z,"Americus, Georgia",-84.23269,32.072386,Americus,GA,1913,seq-6,https://articleextractor.org/pages/8386/gu_bootes_ver01/sn89053204/1913/09/24/ed-1/seq-6/1,Louisville,MS,,,,,N,1910s,Georgia,South,Not_Border,113,8386
8388_0,Evening bulletin,"No town/city given, SC",1882-06-14T00:00:00Z,"Maysville , Kentucky",-83.74437,38.641185,Maysville,KY,1882,seq-2,https://articleextractor.org/pages/8388/kyu_ishtar_ver01/sn86069125/1882/06/14/ed-1/seq-2/1,No town/city given,SC,,,,,N,1880s,Kentucky,South,Border,9,8388
8388_1,Evening bulletin,"No town/city given, SC",1882-06-14T00:00:00Z,"Maysville , Kentucky",-83.74437,38.641185,Maysville,KY,1882,seq-2,https://articleextractor.org/pages/8388/kyu_ishtar_ver01/sn86069125/1882/06/14/ed-1/seq-2/1,No town/city given,SC,,,,,N,1880s,Kentucky,South,Border,30,8388
8389_0,The farmer and mechanic,"Booneville, MS",1882-06-28T00:00:00Z,"Raleigh, North Carolina",-78.63818,35.77959,Raleigh,NC,1882,seq-1,https://articleextractor.org/pages/8389/ncu_grandfather_ver01/sn85042098/1882/06/28/ed-1/seq-1/1,Booneville,MS,,,,,N,1880s,North Carolina,South,Not_Border,24,8389
8389_1,The farmer and mechanic,"Booneville, MS",1882-06-28T00:00:00Z,"Raleigh, North Carolina",-78.63818,35.77959,Raleigh,NC,1882,seq-1,https://articleextractor.org/pages/8389/ncu_grandfather_ver01/sn85042098/1882/06/28/ed-1/seq-1/1,Booneville,MS,,,,,N,1880s,North Carolina,South,Not_Border,20,8389
8390_0,The Brookhaven leader,"Monticello, VA",1888-07-26T00:00:00Z,"Brookhaven, Mississippi",-90.44065,31.579059,Brookhaven,MS,1888,seq-2,https://articleextractor.org/pages/8390/msar_agate_ver01/sn86074058/1888/07/26/ed-1/seq-2/2,Monticello,VA,,,,,N,1880s,Mississippi,South,Not_Border,171,8390
8391_0,Centre Hall reporter,"Jackson Township, MO",1871-10-06T00:00:00Z,"Centre Hall, Pennsylvania",-77.68611,40.847563,Centre Hall,PA,1871,seq-4,https://articleextractor.org/pages/8391/pst_kellerman_ver01/sn85054524/1871/10/06/ed-1/seq-4/1,Jackson Township,MO,,,,,N,1870s,Pennsylvania,Northeast,Not_Border,116,8391
8395_0,NA,"Pooler, MS",1889-08-23T00:00:00Z,"NA, North Dakota",-101.00201,47.551493,NA,ND,1889,seq-3,https://articleextractor.org/pages/8395/ndhi_carbon_ver01/sn88076144/1889/08/23/ed-1/seq-3/3,Pooler,MS,,,,,N,1880s,North Dakota,Midwest,Not_Border,46,8395
8400_0,The sun,"Cincinnati, OH",1884-03-25T00:00:00Z,"New York , New York",-74.00597,40.712775,New York,NY,1884,seq-1,https://articleextractor.org/pages/8400/nn_angelou_ver01/sn83030272/1884/03/25/ed-1/seq-1/1,Cincinnati,OH,,,,,N,1880s,New York,Northeast,Not_Border,920,8400
8401_0,Chicago daily tribune,"Murphysboro, IL",1874-02-06T00:00:00Z,"Chicago, Illinois",-87.6298,41.878114,Chicago,IL,1874,seq-5,https://articleextractor.org/pages/8401/dlc_fullerton_ver02/sn84031492/1874/02/06/ed-1/seq-5/1,Murphysboro,IL,,,,,Y,1870s,Illinois,Midwest,Not_Border,105,8401
