"","file_id","newspaper_name","lynch_address","date","news_address","news_location_lon","news_location_lat","newspaper_city","newspaper_state_code","year","page","url","city_lynch","state_lynch","sn","lynching.lon","lynching.lat","miles","in_state","decade","Newspaper_State","Newspaper_Region","Border","total_words","file_id_old"
"32","18047_0","Vermont phœnix","Carrollton, AL","9/22/1893","Brattleboro, Vermont",-72.55787,42.850915,"Brattleboro","VT",1893,"seq-5","https://articleextractor.org/pages/18047/vtu_eden_ver01/sn98060050/1893/09/22/ed-1/seq-5/1","Carrollton","AL","sn98060050",-88.0950263,33.2617871,1072,"N",1890,"Vermont","Northeast","Not_Border",497,18047
"33","18304_0","Dakota farmers' leader.","Birmingham, AL","9/22/1893","Canton, South Dakota",-99.90181,43.969515,"Canton","SD",1893,"seq-2","https://articleextractor.org/pages/18304/mnhi_volvo_ver01/sn00065127/1893/09/22/ed-1/seq-2/1","Birmingham","AL","sn00065127",-86.8103567,33.5185892,1008,"N",1890,"South Dakota","Midwest","Not_Border",95,18304
"34","14729_0","The Seattle post-intelligencer","Springville, AL","2/23/1893","Seattle, Washington",-122.33285,47.606139,"Seattle","WA",1893,"seq-3","https://articleextractor.org/pages/14729/wa_forks_ver01/sn83045604/1893/02/23/ed-1/seq-3/1","Springville","AL","sn83045604",-86.4716512,33.7750997,2085,"N",1890,"Washington","West","Not_Border",20,14729
"35","14551_0","The Wheeling daily intelligencer","Berlin, AL","12/7/1893","Wheeling, West Virginia",-80.72092,40.063962,"Wheeling","WV",1893,"seq-1","https://articleextractor.org/pages/14551/wvu_denmark_ver01/sn84026844/1893/12/07/ed-1/seq-1/1","Berlin","AL","sn84026844",-86.742541,34.1785191,525,"N",1890,"West Virginia","South","Border",19,14551
"36","14436_0","Waterbury evening Democrat","Wamack Hill, AL","1/2/1893","Waterbury, Connecticut",-73.0515,41.558152,"Waterbury","CT",1893,"seq-3","https://articleextractor.org/pages/14436/ct_gum_ver01/sn94053256/1893/01/02/ed-1/seq-3/1","Wamack Hill","AL","sn94053256",-88.1886248,31.8532097,1072,"N",1890,"Connecticut","Northeast","Not_Border",15,14436
"37","14436","Waterbury evening Democrat","Monroeville, AL","1/2/1893","Waterbury, Connecticut",-73.0515,41.558152,"Waterbury","CT",1893,"seq-3","https://articleextractor.org/pages/14436/ct_gum_ver01/sn94053256/1893/01/02/ed-1/seq-3/1","Monroeville","AL","sn94053256",-87.3247077,31.5279399,1051,"N",1890,"Connecticut","Northeast","Not_Border",NA,NA
"38","17851","River Falls journal","Greenville, AL","1/18/1894","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI",1894,"seq-2","https://articleextractor.org/pages/17851/whi_galky_ver01/sn85033255/1894/01/18/ed-1/seq-2/1","Greenville","AL","sn85033255",-86.6177517,31.8295972,958,"N",1890,"Wisconsin","Midwest","Not_Border",NA,NA
"39","9746_0",NA,"Tuscumbia, AL","4/26/1894","NA, Mississippi",-89.39853,32.354668,NA,"MS",1894,"seq-2","https://articleextractor.org/pages/9746/msar_lapis_ver01/sn87065215/1894/04/26/ed-1/seq-2/2","Tuscumbia","AL","sn87065215",-87.70253,34.7312005,191,"N",1890,"Mississippi","South","Not_Border",106,9746
"40","18077_0","The Irish standard","Tuscumbia, AL","4/28/1894","Minneapolis, Minnesota",-93.26501,44.977753,"Minneapolis","MN",1894,"seq-2","https://articleextractor.org/pages/18077/mnhi_betelgeuse_ver01/sn90059959/1894/04/28/ed-1/seq-2/1","Tuscumbia","AL","sn90059959",-87.70253,34.7312005,767,"N",1890,"Minnesota","Midwest","Not_Border",28,18077
"41","8665_0","Evening journal","Greenville, AL","4/22/1895","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1895,"seq-2","https://articleextractor.org/pages/8665/deu_arden_ver01/sn85042354/1895/04/22/ed-1/seq-2/1","Greenville","AL","sn85042354",-86.6177517,31.8295972,827,"N",1890,"Delaware","South","Border",673,8665
"42","14739","The Seattle post-intelligencer","Perote (near), AL","10/6/1895","Seattle, Washington",-122.33285,47.606139,"Seattle","WA",1895,"seq-2","https://articleextractor.org/pages/14739/wa_grace_ver02/sn83045604/1895/10/06/ed-1/seq-2/1","Perote (near)","AL","sn83045604",-85.7052243,31.9476561,2199,"N",1890,"Washington","West","Not_Border",NA,NA
"43","8623_0","St. Paul daily globe","Greenville, AL","4/22/1895","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN",1895,"seq-5","https://articleextractor.org/pages/8623/mnhi_onamia_ver01/sn90059522/1895/04/22/ed-1/seq-5/1","Greenville","AL","sn90059522",-86.6177517,31.8295972,972,"N",1890,"Minnesota","Midwest","Not_Border",250,8623
"44","18261_0","Kansas City daily journal","Greenville, AL","4/30/1895","Kansas City, Missouri",-94.57857,39.099727,"Kansas City","MO",1895,"seq-1","https://articleextractor.org/pages/18261/mohi_edwards_ver01/sn86063624/1895/04/30/ed-1/seq-1/1","Greenville","AL","sn86063624",-86.6177517,31.8295972,673,"N",1890,"Missouri","Midwest","Border",95,18261
"45","14453_0","The record-union","Butler County, AL","4/30/1895","Sacramento, California",-121.4944,38.581572,"Sacramento","CA",1895,"seq-1","https://articleextractor.org/pages/14453/curiv_pescadero_ver01/sn82015104/1895/04/30/ed-1/seq-1/1","Butler County","AL","sn82015104",-86.6611083,31.6760284,2015,"N",1890,"California","West","Not_Border",88,14453
"46","18463_0","Baxter Springs news","Greanville, AL","5/4/1895","Baxter Springs, Kansas",-94.7355,37.023676,"Baxter Springs","KS",1895,"seq-3","https://articleextractor.org/pages/18463/khi_jones_ver01/sn83040592/1895/05/04/ed-1/seq-3/1","Greanville","AL","sn83040592",-86.6177517,31.8295972,586,"N",1890,"Kansas","Midwest","Not_Border",86,18463
"47","8650_0","Daily public ledger","Strasburg, AL","6/6/1895","Maysville, Kentucky",-83.74437,38.641185,"Maysville","KY",1895,"seq-3","https://articleextractor.org/pages/8650/kyu_gandhi_ver01/sn86069117/1895/06/06/ed-1/seq-3/1","Strasburg","AL","sn86069117",-86.902298,32.3182314,472,"N",1890,"Kentucky","South","Border",75,8650
"48","18269_0","Rock Island Argus.","Baldwin County, AL","6/27/1895","Rock Island, Illinois",-90.57875,41.509477,"Rock Island","IL",1895,"seq-1","https://articleextractor.org/pages/18269/iune_ephemera_ver01/sn92053934/1895/06/27/ed-1/seq-1/1","Baldwin County","AL","sn92053934",-87.7763333,30.6010744,771,"N",1890,"Illinois","Midwest","Not_Border",57,18269
"49","18272_0","Daily public ledger","Butler county, AL","4/30/1895","Maysville, Kentucky",-83.74437,38.641185,"Maysville","KY",1895,"seq-2","https://articleextractor.org/pages/18272/kyu_gandhi_ver01/sn86069117/1895/04/30/ed-1/seq-2/1","Butler county","AL","sn86069117",-86.6611083,31.6760284,509,"N",1890,"Kentucky","South","Border",50,18272
"50","18455","The diamond drill.","Butler County, AL","5/4/1895","Crystal Falls, Michigan",-88.33402,46.098007,"Crystal Falls","MI",1895,"seq-2","https://articleextractor.org/pages/18455/mimtptc_elsie_ver01/sn96076817/1895/05/04/ed-1/seq-2/1","Butler County","AL","sn96076817",-86.6611083,31.6760284,1002,"N",1890,"Michigan","Midwest","Not_Border",NA,NA
"51","18497_0","The L'Anse sentinel.","Birmingham, AL","8/10/1895","L'Anse, Michigan",-88.45291,46.756599,"L'Anse","MI",1895,"seq-2","https://articleextractor.org/pages/18497/mimtptc_jonesville_ver01/sn96077142/1895/08/10/ed-1/seq-2/1","Birmingham","AL","sn96077142",-86.8103567,33.5185892,920,"N",1890,"Michigan","Midwest","Not_Border",37,18497
"52","18497","The L'Anse sentinel.","Hayneville, AL","8/10/1895","L'Anse, Michigan",-88.45291,46.756599,"L'Anse","MI",1895,"seq-2","https://articleextractor.org/pages/18497/mimtptc_jonesville_ver01/sn96077142/1895/08/10/ed-1/seq-2/1","Hayneville","AL","sn96077142",-86.5802533,32.1840315,1013,"N",1890,"Michigan","Midwest","Not_Border",NA,NA
"53","18263","Potosi journal.","Birmingham, AL","6/12/1895","Potosi, Missouri",-90.78791,37.936438,"Potosi","MO",1895,"seq-2","https://articleextractor.org/pages/18263/mohi_marmaduke_ver02/sn90061371/1895/06/12/ed-1/seq-2/1","Birmingham","AL","sn90061371",-86.8103567,33.5185892,378,"N",1890,"Missouri","Midwest","Border",NA,NA
"54","8363","Barton County democrat","Florence, AL","9/24/1896","Great Bend, Kansas",-98.76481,38.364457,"Great Bend","KS",1896,"seq-2","https://articleextractor.org/pages/8363/khi_finney_ver02/sn83040198/1896/09/24/ed-1/seq-2/2","Florence","AL","sn83040198",-87.677251,34.79981,663,"N",1890,"Kansas","Midwest","Not_Border",NA,NA
"55","8625_0","Abilene weekly reflector","Hartselle, AL","6/25/1896","Abilene, Kansas",-97.21391,38.917222,"Abilene","KS",1896,"seq-12","https://articleextractor.org/pages/8625/khi_lawrence_ver01/sn84029386/1896/06/25/ed-1/seq-12/1","Hartselle","AL","sn84029386",-86.9352842,34.4434282,648,"N",1890,"Kansas","Midwest","Not_Border",535,8625
"56","8375_0","Reporter and farmer","Woodstock, AL","12/31/1896","Webster, South Dakota",-97.52009,45.33218,"Webster","SD",1896,"seq-10","https://articleextractor.org/pages/8375/sdhi_leek_ver02/sn99068116/1896/12/31/ed-1/seq-10/1","Woodstock","AL","sn99068116",-87.1499961,33.2067835,1004,"N",1890,"South Dakota","Midwest","Not_Border",304,8375
"57","16784_0","The Dakota chief.","Butler Springs, AL","1/2/1896","Gann Valley, South Dakota",-98.98794,44.032706,"Gann Valley","SD",1896,"seq-3","https://articleextractor.org/pages/16784/sdhi_guava_ver02/sn99068086/1896/01/02/ed-1/seq-3/3","Butler Springs","AL","sn99068086",-86.8660908,31.8020976,1071,"N",1890,"South Dakota","Midwest","Not_Border",83,16784
"58","8773_0","The Guthrie daily leader","Chapel Hill, AL","9/26/1896","Guthrie, Oklahoma",-97.42532,35.878937,"Guthrie","OK",1896,"seq-2","https://articleextractor.org/pages/8773/okhi_ellis_ver01/sn86063952/1896/09/26/ed-1/seq-2/1","Chapel Hill","AL","sn86063952",-86.23111,31.02917,727,"N",1890,"Oklahoma","South","Not_Border",52,8773
"59","8772_1",NA,"Selma, AL","8/5/1896","NA, Missouri",101.75239,20.92408,NA,"MO",1896,"seq-2","https://articleextractor.org/pages/8772/mohi_marmaduke_ver02/sn90061371/1896/08/05/ed-1/seq-2/1","Selma","AL","sn90061371",-87.0211007,32.4073589,8716,"N",1890,"Missouri","Midwest","Border",18,8772
"60","8126_0","The Houston daily post","Abbeyville, AL","8/25/1897","Houston, Texas",-95.3698,29.760427,"Houston","TX",1897,"seq-5","https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1","Abbeyville","AL","sn86071197",-85.2504893,31.5718352,615,"N",1890,"Texas","South","Not_Border",67,8126
"61","8220","The Indianapolis journal","Florence, AL","7/22/1897","Indianapolis , Indiana",-86.15807,39.768403,"Indianapolis","IN",1897,"seq-5","https://articleextractor.org/pages/8220/in_bradlaugh_ver02/sn82015679/1897/07/22/ed-1/seq-5/2","Florence","AL","sn82015679",-87.677251,34.79981,354,"N",1890,"Indiana","Midwest","Not_Border",NA,NA
"62","8357_1","Eagle River review","Wetumpka, AL","6/23/1898","Eagle River, Wisconsin",-89.2443,45.917176,"Eagle River","WI",1898,"seq-2","https://articleextractor.org/pages/8357/whi_arbutus_ver01/sn85040614/1898/06/23/ed-1/seq-2/2","Wetumpka","AL","sn85040614",-86.2119127,32.5437448,939,"N",1890,"Wisconsin","Midwest","Not_Border",248,8357
"63","17572_0","The Kinsley graphic","Coaling, AL","7/22/1898","Kinsley, Kansas",-99.40984,37.923072,"Kinsley","KS",1898,"seq-2","https://articleextractor.org/pages/17572/khi_douglas_ver01/sn84029671/1898/07/22/ed-1/seq-2/1","Coaling","AL","sn84029671",-87.340834,33.1590078,754,"N",1890,"Kansas","Midwest","Not_Border",81,17572
"64","17547_0","The Saint Paul globe.","none, AL","11/9/1898","St. Paul, Minnesota",-93.08996,44.953703,"St. Paul","MN",1898,"seq-6","https://articleextractor.org/pages/17547/mnhi_hallock_ver01/sn90059523/1898/11/09/ed-1/seq-6/1","none","AL","sn90059523",NA,NA,NA,"N",1890,"Minnesota","Midwest","Not_Border",69,17547
"65","17583_0","The sun","Wetumpka, AL","6/18/1898","New York , New York",-74.00597,40.712775,"New York","NY",1898,"seq-4","https://articleextractor.org/pages/17583/nn_qabbani_ver01/sn83030272/1898/06/18/ed-1/seq-4/1","Wetumpka","AL","sn83030272",-86.2119127,32.5437448,881,"N",1890,"New York","Northeast","Not_Border",63,17583
"66","17543","Willmar tribune","Montgomery, AL","3/29/1898","Willmar, Minnesota",-95.04866,45.122371,"Willmar","MN",1898,"seq-2","https://articleextractor.org/pages/17543/mnhi_edsel_ver01/sn89081022/1898/03/29/ed-1/seq-2/1","Montgomery","AL","sn89081022",-86.3077368,32.3792233,998,"N",1890,"Minnesota","Midwest","Not_Border",NA,NA
"67","14692","Wood County reporter","Autauga County, AL","11/17/1898","Grand Rapids , Wisconsin",-89.75677,44.380134,"Grand Rapids","WI",1898,"seq-6","https://articleextractor.org/pages/14692/whi_belle_ver01/sn85033078/1898/11/17/ed-1/seq-6/1","Autauga County","AL","sn85033078",-86.4996546,32.5791817,835,"N",1890,"Wisconsin","Midwest","Not_Border",NA,NA
"68","14634_1","River Falls journal","Blanch, AL","2/24/1898","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI",1898,"seq-2","https://articleextractor.org/pages/14634/whi_hegmeister_ver01/sn85033255/1898/02/24/ed-1/seq-2/1","Blanch","AL","sn85033255",NA,NA,NA,"N",1890,"Wisconsin","Midwest","Not_Border",19,14634
"69","8457_0","River Falls journal","Coaling, AL","7/21/1898","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI",1898,"seq-2","https://articleextractor.org/pages/8457/whi_hegmeister_ver01/sn85033255/1898/07/21/ed-1/seq-2/1","Coaling","AL","sn85033255",-87.340834,33.1590078,857,"N",1890,"Wisconsin","Midwest","Not_Border",17,8457
"70","18148_0","Crittenden press","Courtland, AL","11/9/1899","Marion, Kentucky",-88.08114,37.332829,"Marion","KY",1899,"seq-1","https://articleextractor.org/pages/18148/kyu_airplane_ver01/sn86069457/1899/11/09/ed-1/seq-1/1","Courtland","AL","sn86069457",-87.3094649,34.6689794,189,"N",1890,"Kentucky","South","Border",33,18148
"71","18325_0","Turner County herald.","Huntsville, AL","7/26/1900","Hurley, South Dakota",-97.08922,43.28304,"Hurley","SD",1900,"seq-2","https://articleextractor.org/pages/18325/sdhi_eagle_ver01/sn2001063133/1900/07/26/ed-1/seq-2/1","Huntsville","AL","sn2001063133",-86.5861037,34.7303688,816,"N",1900,"South Dakota","Midwest","Not_Border",112,18325
"72","8753_0","The Wheeling daily intelligencer","Geneva, AL","5/7/1900","Wheeling, West Virginia",-80.72092,40.063962,"Wheeling","WV",1900,"seq-5","https://articleextractor.org/pages/8753/wvu_germany_ver01/sn84026844/1900/05/07/ed-1/seq-5/1","Geneva","AL","sn84026844",-85.8638242,31.0329572,688,"N",1900,"West Virginia","South","Border",99,8753
"73","8732_0","The Topeka state journal","Marion, AL","12/29/1900","Topeka, Kansas",-95.67516,39.047345,"Topeka","KS",1900,"seq-3","https://articleextractor.org/pages/8732/khi_higuchi_ver01/sn82016014/1900/12/29/ed-1/seq-3/1","Marion","AL","sn82016014",-87.3191655,32.6323536,645,"N",1900,"Kansas","Midwest","Not_Border",57,8732
"74","14645_0","River Falls journal","Cresswell, AL","7/19/1900","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI",1900,"seq-2","https://articleextractor.org/pages/14645/whi_hegmeister_ver01/sn85033255/1900/07/19/ed-1/seq-2/1","Cresswell","AL","sn85033255",-86.902298,32.3182314,920,"N",1900,"Wisconsin","Midwest","Not_Border",16,14645
"75","8707",NA,"no city listed, AL","8/22/1901","NA, Kentucky",106.15001,22.726562,NA,"KY",1901,"seq-4","https://articleextractor.org/pages/8707/kyu_charo_ver01/sn86069201/1901/08/22/ed-1/seq-4/1","no city listed","AL","sn86069201",-86.902298,32.3182314,8547,"N",1900,"Kentucky","South","Border",NA,NA
