"","X.1","file_id2","newspaper_name","newspaper_state","date","year","month","day","page","edition","mod_id","unnamed_0","file_id","article_id","sn","url","black_press","filename","X","index","article_title","newspaper_city","collection","abstract","store_id","authors","document_type","issn","pages","find_a_copy","start_page","filepath"
"19",67,"8289_0",NA,"Mississippi","1917-08-01",1917,8,1,"seq-1","ed-1",1,6895,8289,0,"sn89065008","https://articleextractor.org/pages/8289/msar_damask_ver02/sn89065008/1917/08/01/ed-1/seq-1/0?user_id=6",NA,"8289_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",68,"8290_0","The news & observer (Raleigh, N.C.)","North Carolina","1899-04-19",1899,4,19,"seq-2","ed-1",1,8046,8290,0,"sn85042104","https://articleextractor.org/pages/8290/ncu_ford_ver02/sn85042104/1899/04/19/ed-1/seq-2/0?user_id=6",NA,"8290_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",82,"8313_0","The daily Madisonian (Washington City...)","District of Columbia","1844-09-14",1844,9,14,"seq-2","ed-1",3,2025,8313,0,"sn84020074","https://articleextractor.org/pages/8313/dlc_dragon_ver01/sn84020074/1844/09/14/ed-1/seq-2/0?user_id=6",NA,"8313_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",85,"8316_0",NA,"Virginia","1911-06-21",1911,6,21,"seq-6","ed-1",1,12172,8316,0,"sn90052005","https://articleextractor.org/pages/8316/vi_oldenburg_ver01/sn90052005/1911/06/21/ed-1/seq-6/0?user_id=6",NA,"8316_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",86,"8318_0","The weekly messenger La.)","Louisiana","1894-06-23",1894,6,23,"seq-1","ed-1",4,5131,8318,0,"sn88064454","https://articleextractor.org/pages/8318/lu_strongguy_ver01/sn88064454/1894/06/23/ed-1/seq-1/0?user_id=6",NA,"8318_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",106,"8337_0","The semi-weekly messenger (Wilmington, N.C...)","North Carolina","1902-01-07",1902,1,7,"seq-6","ed-1",2,8116,8337,0,"sn91068367","https://articleextractor.org/pages/8337/ncu_green_ver01/sn91068367/1902/01/07/ed-1/seq-6/0?user_id=6",NA,"8337_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",113,"8346_0","The Birmingham age-herald (Birmingham, Ala...)","Alabama","1907-03-17",1907,3,17,"seq-2","ed-1",2,834,8346,0,"sn85038485","https://articleextractor.org/pages/8346/au_evans_ver01/sn85038485/1907/03/17/ed-1/seq-2/0?user_id=6",NA,"8346_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",115,"8349_0","The news & observer (Raleigh, N.C.)","North Carolina","1901-03-15",1901,3,15,"seq-2","ed-1",3,8166,8349,0,"sn85042104","https://articleextractor.org/pages/8349/ncu_griffin_ver01/sn85042104/1901/03/15/ed-1/seq-2/0?user_id=6",NA,"8349_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",128,"8366_0","The times (Washington [D.C...)","District of Columbia","1897-08-27",1897,8,27,"seq-3","ed-1",2,2043,8366,0,"sn85054468","https://articleextractor.org/pages/8366/dlc_dutch_ver02/sn85054468/1897/08/27/ed-1/seq-3/0?user_id=6",NA,"8366_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",129,"8367_0",NA,"District of Columbia","1891-05-01",1891,5,1,"seq-1","ed-1",2,2188,8367,0,"sn87062228","https://articleextractor.org/pages/8367/dlc_harry_ver01/sn87062228/1891/05/01/ed-1/seq-1/0?user_id=6",NA,"8367_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",134,"8389_0","The farmer and mechanic (Raleigh, N.C.)","North Carolina","1882-06-28",1882,6,28,"seq-1","ed-1",1,8090,8389,0,"sn85042098","https://articleextractor.org/pages/8389/ncu_grandfather_ver01/sn85042098/1882/06/28/ed-1/seq-1/0?user_id=6",NA,"8389_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",135,"8389_1","The farmer and mechanic (Raleigh, N.C.)","North Carolina","1882-06-28",1882,6,28,"seq-1","ed-1",1,8091,8389,1,"sn85042098","https://articleextractor.org/pages/8389/ncu_grandfather_ver01/sn85042098/1882/06/28/ed-1/seq-1/0?user_id=6",NA,"8389_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",136,"8390_0","The Brookhaven leader (Brookhaven, Mis...)","Mississippi","1888-07-26",1888,7,26,"seq-2","ed-1",2,6771,8390,0,"sn86074058","https://articleextractor.org/pages/8390/msar_agate_ver01/sn86074058/1888/07/26/ed-1/seq-2/0?user_id=6",NA,"8390_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",143,"8402_0","Shenandoah herald (Woodstock, Va.)","Virginia","1868-12-17",1868,12,17,"seq-2","ed-1",1,12034,8402,0,"sn85026941","https://articleextractor.org/pages/8402/vi_jennet_ver02/sn85026941/1868/12/17/ed-1/seq-2/0?user_id=6",NA,"8402_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",148,"8409_0","The daily crescent ([New Orleans, L...)","Louisiana","1851-06-05",1851,6,5,"seq-2","ed-1",1,5051,8409,0,"sn82015378","https://articleextractor.org/pages/8409/lu_diglett_ver01/sn82015378/1851/06/05/ed-1/seq-2/0?user_id=6",NA,"8409_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",149,"8411_0","The southern press (Washington [D.C...)","District of Columbia","1852-07-02",1852,7,2,"seq-2","ed-1",1,2085,8411,0,"sn82014764","https://articleextractor.org/pages/8411/dlc_elf_ver03/sn82014764/1852/07/02/ed-1/seq-2/0?user_id=6",NA,"8411_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",158,"8421_0","The day book (Norfolk, Va.)","Virginia","1866-01-15",1866,1,15,"seq-4","ed-1",1,12025,8421,0,"sn85025697","https://articleextractor.org/pages/8421/vi_icelandic_ver01/sn85025697/1866/01/15/ed-1/seq-4/0?user_id=6",NA,"8421_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",166,"8427_0","New Orleans Republican (New Orleans, La)","Louisiana","1874-03-26",1874,3,26,"seq-1","ed-1",1,5073,8427,0,"sn83016555","https://articleextractor.org/pages/8427/lu_haunter_ver01/sn83016555/1874/03/26/ed-1/seq-1/0?user_id=6",NA,"8427_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",177,"8445_0","Savannah morning news (Savannah)","Georgia","1884-04-26",1884,4,26,"seq-1","ed-1",2,2590,8445,0,"sn82015137","https://articleextractor.org/pages/8445/gu_ace_ver02/sn82015137/1884/04/26/ed-1/seq-1/0?user_id=6",NA,"8445_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",178,"8445_1","Savannah morning news (Savannah)","Georgia","1884-04-26",1884,4,26,"seq-1","ed-1",2,2591,8445,1,"sn82015137","https://articleextractor.org/pages/8445/gu_ace_ver02/sn82015137/1884/04/26/ed-1/seq-1/0?user_id=6",NA,"8445_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",179,"8446_0","The daily dispatch (Richmond [Va.])","Virginia","1855-10-05",1855,10,5,"seq-1","ed-1",1,12117,8446,0,"sn84024738","https://articleextractor.org/pages/8446/vi_manowar_ver01/sn84024738/1855/10/05/ed-1/seq-1/0?user_id=6",NA,"8446_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",184,"8450_0",NA,"Louisiana","1895-09-28",1895,9,28,"seq-3","ed-1",1,5079,8450,0,"sn88064250","https://articleextractor.org/pages/8450/lu_jacobi_ver01/sn88064250/1895/09/28/ed-1/seq-3/0?user_id=6",NA,"8450_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",188,"8455_0",NA,"Texas","1897-07-29",1897,7,29,"seq-8","ed-1",1,11223,8455,0,"sn86088296","https://articleextractor.org/pages/8455/txdn_audi_ver01/sn86088296/1897/07/29/ed-1/seq-8/0?user_id=6",NA,"8455_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",189,"8456_0","The semi-weekly messenger (Wilmington, N.C...)","North Carolina","1897-11-19",1897,11,19,"seq-3","ed-1",1,8098,8456,0,"sn91068367","https://articleextractor.org/pages/8456/ncu_green_ver01/sn91068367/1897/11/19/ed-1/seq-3/0?user_id=6",NA,"8456_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",190,"8456_1","The semi-weekly messenger (Wilmington, N.C...)","North Carolina","1897-11-19",1897,11,19,"seq-3","ed-1",1,8099,8456,1,"sn91068367","https://articleextractor.org/pages/8456/ncu_green_ver01/sn91068367/1897/11/19/ed-1/seq-3/0?user_id=6",NA,"8456_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",197,"8460_0","The morning news (Savannah, Ga.)","Georgia","1897-08-24",1897,8,24,"seq-4","ed-1",1,2682,8460,0,"sn86063034","https://articleextractor.org/pages/8460/gu_endeavour_ver01/sn86063034/1897/08/24/ed-1/seq-4/0?user_id=6",NA,"8460_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",212,"8475_0","Daily national Republican (Washington, D.C...)","District of Columbia","1863-03-17",1863,3,17,"seq-1","ed-1",1,1994,8475,0,"sn86053570","https://articleextractor.org/pages/8475/dlc_continental_ver02/sn86053570/1863/03/17/ed-1/seq-1/0?user_id=6",NA,"8475_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",213,"8477_0","Lynchburg daily Virginian (Lynchburg [Va.])","Virginia","1853-09-08",1853,9,8,"seq-2","ed-1",1,11936,8477,0,"sn85034360","https://articleextractor.org/pages/8477/vi_exmoor_ver01/sn85034360/1853/09/08/ed-1/seq-2/0?user_id=6",NA,"8477_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",216,"8481_0","New Orleans daily crescent ([New Orleans, L...)","Louisiana","1854-01-11",1854,1,11,"seq-2","ed-1",1,5105,8481,0,"sn82015753","https://articleextractor.org/pages/8481/lu_pearse_ver01/sn82015753/1854/01/11/ed-1/seq-2/0?user_id=6",NA,"8481_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",217,"8482_0","The Atlanta constitution (Atlanta, Ga.)","Georgia","1892-10-04",1892,10,4,"seq-12","ed-1",1,2697,8482,0,"sn89053706","https://articleextractor.org/pages/8482/gu_fornax_ver01/sn89053706/1892/10/04/ed-1/seq-12/0?user_id=6",NA,"8482_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",220,"8492_0","The Nashville daily union (Nashville, Tenn...)","Tennessee","1865-07-11",1865,7,11,"seq-3","ed-1",2,10976,8492,0,"sn83025718","https://articleextractor.org/pages/8492/tu_grady_ver01/sn83025718/1865/07/11/ed-1/seq-3/0?user_id=6",NA,"8492_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",225,"8498_0","The Fairfield herald (Winnsboro, S.C.)","South Carolina","1871-04-12",1871,4,12,"seq-1","ed-1",1,10285,8498,0,"sn84026923","https://articleextractor.org/pages/8498/scu_drinksmall_ver01/sn84026923/1871/04/12/ed-1/seq-1/0?user_id=6",NA,"8498_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",226,"8499_0","Brownsville herald (Brownsville, Te...)","Texas","1934-04-20",1934,4,20,"seq-12","ed-1",1,11457,8499,0,"sn86063730","https://articleextractor.org/pages/8499/txdn_gomez_ver01/sn86063730/1934/04/20/ed-1/seq-12/0?user_id=6",NA,"8499_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",241,"8513_0","The morning news (Savannah, Ga.)","Georgia","1889-08-06",1889,8,6,"seq-6","ed-1",1,2614,8513,0,"sn86063034","https://articleextractor.org/pages/8513/gu_columbo_ver02/sn86063034/1889/08/06/ed-1/seq-6/0?user_id=6",NA,"8513_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",245,"8518_0","The Donaldsonville chief (Donaldsonville,...)","Louisiana","1882-07-29",1882,7,29,"seq-1","ed-1",1,5033,8518,0,"sn85034248","https://articleextractor.org/pages/8518/lu_bolivar_ver01/sn85034248/1882/07/29/ed-1/seq-1/0?user_id=6",NA,"8518_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",249,"8521_0",NA,"South Carolina","1885-10-28",1885,10,28,"seq-4","ed-1",1,10319,8521,0,"sn93067760","https://articleextractor.org/pages/8521/scu_kikideville_ver02/sn93067760/1885/10/28/ed-1/seq-4/0?user_id=6",NA,"8521_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",259,"8529_0","Alexandria gazette (Alexandria, D.C...)","District of Columbia","1880-01-20",1880,1,20,"seq-2","ed-1",1,11971,8529,0,"sn85025007","https://articleextractor.org/pages/8529/vi_gabbana_ver01/sn85025007/1880/01/20/ed-1/seq-2/0?user_id=6",NA,"8529_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",260,"8530_0","Evening star (Washington, D.C...)","District of Columbia","1880-01-06",1880,1,6,"seq-3","ed-1",1,2431,8530,0,"sn83045462","https://articleextractor.org/pages/8530/dlc_yorkie_ver01/sn83045462/1880/01/06/ed-1/seq-3/0?user_id=6",NA,"8530_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",261,"8531_0",NA,"Texas","1888-06-09",1888,6,9,"seq-7","ed-1",1,11465,8531,0,"sn86064205","https://articleextractor.org/pages/8531/txdn_hotel_ver02/sn86064205/1888/06/09/ed-1/seq-7/0?user_id=6",NA,"8531_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",262,"8532_0","Knoxville daily chronicle (Knoxville, Tenn...)","Tennessee","1879-04-22",1879,4,22,"seq-1","ed-1",1,11105,8532,0,"sn85033437","https://articleextractor.org/pages/8532/tu_jimmy_ver02/sn85033437/1879/04/22/ed-1/seq-1/0?user_id=6",NA,"8532_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",263,"8535_0","The Lake Charles echo (Lake Charles, P...)","Louisiana","1880-12-18",1880,12,18,"seq-2","ed-1",1,5086,8535,0,"sn86053696","https://articleextractor.org/pages/8535/lu_lapras_ver01/sn86053696/1880/12/18/ed-1/seq-2/0?user_id=6",NA,"8535_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",266,"8541_0",NA,"Louisiana","1913-12-18",1913,12,18,"seq-2","ed-1",1,5011,8541,0,"sn88064469","https://articleextractor.org/pages/8541/lu_arminius_ver01/sn88064469/1913/12/18/ed-1/seq-2/0?user_id=6",NA,"8541_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",270,"8552_0",NA,"Florida","1914-11-13",1914,11,13,"seq-1","ed-1",1,2551,8552,0,"sn87062268","https://articleextractor.org/pages/8552/fu_graham_ver01/sn87062268/1914/11/13/ed-1/seq-1/0?user_id=6",NA,"8552_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",279,"8556_0",NA,"Tennessee","1879-11-13",1879,11,13,"seq-2","ed-1",1,11088,8556,0,"sn86053488","https://articleextractor.org/pages/8556/tu_isaac_ver01/sn86053488/1879/11/13/ed-1/seq-2/0?user_id=6",NA,"8556_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",280,"8556_1",NA,"Tennessee","1879-11-13",1879,11,13,"seq-2","ed-1",1,11089,8556,1,"sn86053488","https://articleextractor.org/pages/8556/tu_isaac_ver01/sn86053488/1879/11/13/ed-1/seq-2/0?user_id=6",NA,"8556_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",284,"8561_0","San Marcos free press (San Marcos, Tex...)","Texas","1878-07-20",1878,7,20,"seq-2","ed-1",1,11433,8561,0,"sn86088181","https://articleextractor.org/pages/8561/txdn_ferrari_ver02/sn86088181/1878/07/20/ed-1/seq-2/0?user_id=6",NA,"8561_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",292,"8578_0","The New Orleans daily Democrat (New Orleans, La...)","Louisiana","1877-03-28",1877,3,28,"seq-2","ed-1",1,5089,8578,0,"sn83026413","https://articleextractor.org/pages/8578/lu_nejat_ver01/sn83026413/1877/03/28/ed-1/seq-2/0?user_id=6",NA,"8578_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",293,"8581_0","Knoxville daily chronicle (Knoxville, Tenn...)","Tennessee","1881-07-14",1881,7,14,"seq-1","ed-1",1,11120,8581,0,"sn85033437","https://articleextractor.org/pages/8581/tu_kay_ver01/sn85033437/1881/07/14/ed-1/seq-1/0?user_id=6",NA,"8581_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",304,"8600_0","The morning news (Savannah, Ga.)","Georgia","1893-04-26",1893,4,26,"seq-4","ed-1",1,2646,8600,0,"sn86063034","https://articleextractor.org/pages/8600/gu_drew_ver02/sn86063034/1893/04/26/ed-1/seq-4/0?user_id=6",NA,"8600_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",313,"8611_0","Macon beacon (Macon, Miss.)","Mississippi","1887-04-09",1887,4,9,"seq-1","ed-1",1,6785,8611,0,"sn83016943","https://articleextractor.org/pages/8611/msar_applejack_ver01/sn83016943/1887/04/09/ed-1/seq-1/0?user_id=6",NA,"8611_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",314,"8611_1","Macon beacon (Macon, Miss.)","Mississippi","1887-04-09",1887,4,9,"seq-1","ed-1",1,6788,8611,1,"sn83016943","https://articleextractor.org/pages/8611/msar_applejack_ver01/sn83016943/1887/04/09/ed-1/seq-1/0?user_id=6",NA,"8611_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",317,"8619_0",NA,"Texas","1897-07-30",1897,7,30,"seq-1","ed-1",1,11432,8619,0,"sn86064199","https://articleextractor.org/pages/8619/txdn_ferrari_ver02/sn86064199/1897/07/30/ed-1/seq-1/0?user_id=6",NA,"8619_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",318,"8621_0",NA,"Mississippi","1898-01-14",1898,1,14,"seq-2","ed-1",1,6889,8621,0,"sn87065532","https://articleextractor.org/pages/8621/msar_daisy_ver01/sn87065532/1898/01/14/ed-1/seq-2/0?user_id=6",NA,"8621_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",326,"8632_0",NA,"Tennessee","1889-09-13",1889,9,13,"seq-1","ed-1",1,11079,8632,0,"sn89058007","https://articleextractor.org/pages/8632/tu_ida_ver01/sn89058007/1889/09/13/ed-1/seq-1/0?user_id=6",NA,"8632_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",327,"8632_1",NA,"Tennessee","1889-09-13",1889,9,13,"seq-1","ed-1",1,11080,8632,1,"sn89058007","https://articleextractor.org/pages/8632/tu_ida_ver01/sn89058007/1889/09/13/ed-1/seq-1/0?user_id=6",NA,"8632_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
